,What is your gender?,What age bracket are you in?,Are you pursuing an undergraduate or graduate degree?,Are you a domestic or international student?,Are you a full-time or part-time student?,What is your year of study?,What program are you currently enrolled in?,What university are you attending?,Did you own a computer/laptop for online learning during the pandemic?,How did you access your course material during the pandemic?,What online communication services did you use during the pandemic?,Was it easy to adapt to new learning communication services during the online learning?,Was the communication clear and helpful about the pandemic provided by the university?,Did you have a quiet and safe place to study during the pandemic?,How do you describe online learning compared to in-person learning?,Were you motivated during online learning to attend or stay in class?,Where did you spend most of your time studying during the pandemic?,Did you manage your time more effectively and efficiently compared to in-person?,How much effort did you put into online learning compared to in-person during the pandemic?,Did the university provide you with tutoring services during the pandemic?,Did the professors post the recorded lectures during the pandemic?,Was it easy to learn from recorded lectures compare to in-person?,Did the professor provide you with flexible hours to work on your coursework during the pandemic?,Did the professors conduct virtual office hours and were they easy to access during the pandemic?,Was it easy to communicate with your professors during online learning?,Were you comfortable communicating and expressing your opinion with the professors during online learning/office hours?,Did your professor give you enough time to discuss course material during online learning?,Did you have a good relationship with your professor compared to in-person during the online learning environment?,Did the professor use the online technology provided efficiently during the online learning?,Did you change your degree or field of specialization during the pandemic?,Did you lose opportunities in terms of research/internship during the pandemic?,Was it easy to use the services of the academic advising/student services during the pandemic?,"When the university opened back (hybrid learning), were you forced to withdraw from certain courses due to the proof of vaccination directive?",Did you have access to services such as sports centres or extracurriculars during the pandemic?,Were you forced to delay your graduation because of the pandemic?,Did you require extra time for exams/tests/quizzes compared to in-person learning?,Was the grading scale for exams/quizzes/tests fair in online learning compared to in- person?,Did you feel your grade were lower compared to in-person learning?,Did the professor communicate clear exam instructions?,Were you concerned about your personal data during online proctoring?,Do you think you received the same quality of education compared to in-person learning?,Did you feel the course load was heavy during the online learning?,Did you receive feedback on time for your coursework compared to in-person?,How difficult was it to balance school and personal life during the pandemic?,How do you describe your relationship with your peers during online learning?,Was online learning more stressful than in-person learning?,Did you suffer from anxiety or depression during the pandemic?,Did you have access to mental health services from the university during the pandemic?,Were you concerned about your social and emotional health during the pandemic?,Did you face financial difficulty during the pandemic?,What do you think is the best learning process after the pandemic?,Are you concerned with online learning environment having an impact entering the job market?,"If other, please specify below"
298,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Difficult to focus,No,Home,No,Greater effort than in-person learning,NIL,Yes,No,No,Yes,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Yes,No,No,No,Yes,Too strict,Yes,Yes,Not at all concerned,No,Yes,Occasionally,Difficult,Poor,Extremely stressful,Sometimes,No,Somewhat concerned,No,In-person,Moderately concerned,NIL
299,Male,18-22,Undergraduate Degree,Domestic,Part time,Year 2,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Yes,Yes,Yes,Yes,Easy,Occassionally,Always,Yes,Yes,No,No,Yes,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,NIL,Not at all concerned,No,Online,Not at all concerned,NIL
300,Female,18-22,Undergraduate Degree,International Student,Full time,Year 2,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Yes,Home,Yes,Less effort than in-person learning,Yes,Few professors posted recorded lectures,Yes,Yes,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Did not use the services,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,Yes,Not at all concerned,No,Online,Not at all concerned,NIL
301,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 5,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Yes,Yes,Yes,Easy,Occassionally,Sometimes,Yes,Professor had some difficulty,No,No,Yes,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Sometimes,Yes,Somewhat concerned,No,Online,Not at all concerned,NIL
302,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Similar to in-person,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Yes,Yes,Yes,Yes,Easy,Occassionally,Sometimes,Yes,Yes,No,No,Yes,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,Yes,Somewhat concerned,No,Hybrid,Moderately concerned,NIL
303,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Yes,Time spent on coursework was similar to in-person learning,Yes,Easy,Everytime,Always,Yes,Professor had some difficulty,No,Opportunities were delayed,Yes,Yes,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Sometimes,Yes,Somewhat concerned,Yes,Online,Not at all concerned,NIL
304,Female,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Yes,Yes,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Yes,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,Yes,Not at all concerned,No,In-person,Not at all concerned,NIL
305,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Yes,Yes,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Yes,No,No,No,Yes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,Yes,Not at all concerned,No,Online,Not at all concerned,NIL
306,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Easy to focus,Similar to in-person learning,Home,Yes,Greater effort than in-person learning,Yes,Few professors posted recorded lectures,Yes,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Sometimes,Yes,Yes,No,No,Yes,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Yes,Occasionally,Moderate,Fair,Moderately stressful,Rarely,Yes,Not at all concerned,No,Online,Not at all concerned,NIL
307,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 5,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Difficult to focus,Similar to in-person learning,Home,No,Greater effort than in-person learning,Yes,Few professors posted recorded lectures,No,No,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Yes,Yes,No,No,Yes,Too strict,Yes,Yes,Not at all concerned,Quality of education was similar to in-person,Yes,Occasionally,Difficult,Fair,Extremely stressful,Often,Yes,Extremely concerned,Sometimes,In-person,Moderately concerned,NIL
308,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Yes,Home,Yes,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Sometimes,Occassionally,Sometimes,No,Professor had some difficulty,No,No,Yes,No,No,No,Yes,Too strict,Yes,No,Extremely concerned,No,Yes,Never,Difficult,Poor,Extremely stressful,Always,Yes,Somewhat concerned,No,Online,Moderately concerned,NIL
309,Female,18-22,Undergraduate Degree,Domestic,Full time,Year 2,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Moderate,Yes,Yes,Similar to in-person,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Yes,No,No,No,Yes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Yes,Somewhat concerned,No,In-person,Not at all concerned,NIL
310,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Similar to in-person,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Yes,No,No,No,Sometimes,Too strict,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Yes,Occasionally,Moderate,Poor,Moderately stressful,Rarely,Yes,Not at all concerned,No,In-person,Moderately concerned,NIL
311,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Similar to in-person,Similar to in-person learning,Home,Similar to in-person,Greater effort than in-person learning,Yes,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Sometimes,Yes,Yes,No,No,Yes,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,NIL,Not at all concerned,No,In-person,Not at all concerned,NIL
312,Female,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Yes,Yes,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Did not use the services,No,No,No,Yes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Never,NIL,Not at all concerned,No,Hybrid,Not at all concerned,NIL
313,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Similar to in-person learning,Campus,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Did not use the services,No,No,No,Sometimes,Similar to in-person,Yes,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Difficult,Fair,Moderately stressful,Sometimes,Yes,Somewhat concerned,Sometimes,Online,Not at all concerned,NIL
314,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 5,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Yes,Home,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Yes,Yes,Yes,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,Opportunities were delayed,Did not use the services,Yes,No,Yes,Yes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Yes,Occasionally,Moderate,Poor,Moderately stressful,Sometimes,Yes,Somewhat concerned,No,Online,Moderately concerned,NIL
315,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Yes,Yes,Yes,Yes,Easy,Everytime,Sometimes,Yes,Professor had some difficulty,No,No,Did not use the services,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,Yes,Not at all concerned,Sometimes,Online,Not at all concerned,NIL
316,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Commerce,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Yes,Home,Similar to in-person,Greater effort than in-person learning,Yes,Yes,Learning curve was similar to in-person learning,Yes,Yes,Sometimes,Occassionally,Always,Yes,Yes,No,No,Yes,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Yes,Not at all concerned,No,In-person,Not at all concerned,NIL
317,Female,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Similar to in-person,No,Home,No,Greater effort than in-person learning,Had some difficulty accesssing tutoring services,Yes,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Sometimes,Occassionally,Sometimes,No,Professor had some difficulty,No,No,Yes,No,No,No,Yes,Too strict,Yes,Yes,Moderately concerned,No,Yes,Occasionally,Difficult,Poor,Extremely stressful,Often,Yes,Somewhat concerned,No,In-person,Moderately concerned,NIL
318,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,NIL,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Yes,No,No,No,Sometimes,Too strict,Yes,Yes,Not at all concerned,No,Yes,Occasionally,Difficult,Poor,Moderately stressful,Sometimes,Yes,Somewhat concerned,No,Online,Not at all concerned,NIL
319,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Difficult to focus,No,Home,No,Greater effort than in-person learning,NIL,Few professors posted recorded lectures,No,No,Sometimes had difficulty accessing office hours,Never,Never,Sometimes,No,No,No,No,Yes,No,No,No,Yes,Too strict,Yes,Yes,Extremely concerned,No,Yes,Occasionally,Difficult,Poor,Extremely stressful,Often,Yes,Somewhat concerned,Yes,In-person,Extremely concerned,NIL
320,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Easy to focus,Yes,Home,Yes,Same effort as in-person learning,NIL,Few professors posted recorded lectures,Yes,Time spent on coursework was similar to in-person learning,Yes,Easy,Everytime,Always,Yes,Yes,No,No,Did not use the services,No,No,No,Yes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Never,NIL,Not at all concerned,No,Online,Not at all concerned,NIL
321,Female,18-22,Undergraduate Degree,International Student,Full time,Year 2,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Similar to in-person,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Easy,Everytime,Always,Yes,Yes,No,No,Did not use the services,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,NIL,Not at all concerned,No,In-person,Not at all concerned,NIL
322,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Shared a device,Canvas,Google Meet,Easy,Yes,Yes,Difficult to focus,Similar to in-person learning,Home,No,Same effort as in-person learning,NIL,Few professors posted recorded lectures,No,No,Yes,Sometimes,Occassionally,Sometimes,No,Professor had some difficulty,No,No,Did not use the services,No,No,No,Sometimes,Similar to in-person,No,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Poor,Moderately stressful,Rarely,Yes,Not at all concerned,No,In-person,Not at all concerned,NIL
323,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,No,Home,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Did not use the services,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,No,Not at all concerned,Sometimes,In-person,Not at all concerned,NIL
324,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Similar to in-person,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Sometimes,Yes,Yes,No,Opportunities were delayed,Yes,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,NIL,Not at all concerned,No,In-person,Not at all concerned,NIL
325,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Yes,Home,Yes,Less effort than in-person learning,Yes,Yes,Yes,Yes,Yes,Easy,Everytime,Always,Yes,Yes,No,No,Yes,No,Yes,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,Yes,Not at all concerned,No,Online,Not at all concerned,NIL
326,Female,18-22,Undergraduate Degree,Domestic,Full time,Year 2,Bachelor of Science,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Similar to in-person,Similar to in-person learning,Home,Similar to in-person,Greater effort than in-person learning,Yes,Yes,No,Yes,Yes,Easy,Everytime,Always,Yes,Yes,No,No,Yes,No,Yes,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Everytime,Easy,Good,Similar to in-person learning,Never,Yes,Not at all concerned,No,In-person,Not at all concerned,NIL
327,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Science,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Difficult to focus,No,Home,No,Greater effort than in-person learning,Yes,Yes,No,Time spent on coursework was similar to in-person learning,Yes,Easy,Everytime,Always,Yes,Yes,No,Opportunities were delayed,Yes,No,Yes,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Everytime,Moderate,Good,Moderately stressful,Never,Yes,Not at all concerned,Sometimes,In-person,Not at all concerned,NIL
328,Female,23-26,Graduate Degree,Domestic,Full time,Year 2,Other,Other,Yes,Canvas,Zoom,Moderate,Somewhat Clear,Yes,Difficult to focus,No,Home,No,Less effort than in-person learning,No,Yes,Yes,Yes,Yes,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Yes,Yes,No,No,No,Yes,Sometimes,Too Lenient,Grades were similar to in-person learning,Yes,Not at all concerned,No,Course load was comparable to in-person,Everytime,Difficult,Fair,Moderately stressful,Often,Yes,Extremely concerned,No,In-person,Moderately concerned,M.S. Social Science Clemson University 
329,Female,30-34,Graduate Degree,International Student,Full time,Year 1,Other,Other,Yes,Canvas,Zoom,Moderate,Yes,Yes,Difficult to focus,Similar to in-person learning,Home,No,Less effort than in-person learning,NIL,Yes,Learning curve was similar to in-person learning,Yes,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Yes,No,Opportunities were delayed,Did not use the services,No,NIL,No,No,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Difficult,Fair,Moderately stressful,Sometimes,Yes,Somewhat concerned,No,Hybrid,Not at all concerned,Edinburgh Napier University
330,Non-binary,23-26,Undergraduate Degree,Domestic,Part time,Year 5,Bachelor of Science,Other,Yes,Canvas,Zoom,Moderate,Somewhat Clear,Sometimes,Difficult to focus,Similar to in-person learning,Home,No,Same effort as in-person learning,No,Yes,Learning curve was similar to in-person learning,Yes,NIL,Sometimes,Occassionally,Always,Similar relationship as in-person learning,Professor had some difficulty,No,Yes,Yes,NIL,NIL,No,NIL,NIL,Grades were similar to in-person learning,NIL,NIL,Quality of education was similar to in-person,Course load was comparable to in-person,Everytime,Moderate,Fair,Similar to in-person learning,Sometimes,NIL,Somewhat concerned,Yes,Hybrid,Not at all concerned,University of Minnesota 
331,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Commerce,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Similar to in-person,Similar to in-person learning,Home,No,Greater effort than in-person learning,Yes,Yes,No,Yes,Yes,Easy,Everytime,Sometimes,Yes,Yes,No,Opportunities were delayed,Yes,Yes,Yes,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,Yes,Not at all concerned,No,Hybrid,Not at all concerned,NIL
332,Male,23-26,Undergraduate Degree,International Student,Part time,Year 2,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Somewhat Clear,Sometimes,Similar to in-person,Similar to in-person learning,Friends Home,Similar to in-person,Same effort as in-person learning,NIL,Yes,Learning curve was similar to in-person learning,Yes,Yes,Easy,Occassionally,Always,Yes,Yes,No,No,Yes,Yes,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Not at all concerned,Quality of education was similar to in-person,No,Occasionally,Moderate,Fair,Not at all stressful,Never,NIL,Not at all concerned,No,Online,Not at all concerned,NIL
333,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Toronto Metropolitan University (Formerly known as Ryerson University),Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Difficult to focus,No,Home,No,Greater effort than in-person learning,Yes,Few professors posted recorded lectures,No,No,Yes,Sometimes,Occassionally,Never,No,Professor had some difficulty,No,No,Yes,Yes,Yes,No,Sometimes,Similar to in-person,Yes,Yes,Moderately concerned,No,Yes,Occasionally,Difficult,Poor,Extremely stressful,Often,Yes,Somewhat concerned,No,In-person,Moderately concerned,NIL
334,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Toronto Metropolitan University (Formerly known as Ryerson University),Yes,D2L,Zoom,Easy,Yes,Yes,Difficult to focus,No,Home,No,Same effort as in-person learning,Yes,Yes,No,Yes,Yes,Sometimes,Occassionally,Sometimes,Yes,Yes,No,Opportunities were delayed,Yes,No,No,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Yes,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Never,Yes,Not at all concerned,Sometimes,In-person,Not at all concerned,NIL
335,Female,18-22,Undergraduate Degree,Domestic,Full time,Year 2,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Less effort than in-person learning,Yes,Yes,Yes,Yes,Yes,Easy,Everytime,Always,Yes,Yes,No,No,Yes,No,No,No,Sometimes,Similar to in-person,No,Yes,Moderately concerned,Quality of education was similar to in-person,No,Occasionally,Moderate,Good,Similar to in-person learning,Never,Yes,Not at all concerned,No,Online,Not at all concerned,NIL
336,Male,30-34,Undergraduate Degree,Domestic,Part time,Year 3,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Difficult to focus,No,Home,No,Greater effort than in-person learning,Yes,Few professors posted recorded lectures,No,No,Yes,Sometimes,Never,Sometimes,No,Professor had some difficulty,No,No,Did not use the services,Yes,No,No,Yes,Too strict,Yes,Yes,Extremely concerned,No,Yes,Occasionally,Moderate,Poor,Extremely stressful,Often,Yes,Somewhat concerned,Yes,In-person,Moderately concerned,NIL
337,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Toronto Metropolitan University (Formerly known as Ryerson University),Yes,D2L,Zoom,Easy,Somewhat Clear,Sometimes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,Yes,Yes,Yes,Yes,Easy,Occassionally,Sometimes,Yes,Yes,No,No,Yes,Yes,Yes,No,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Yes,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Sometimes,Yes,Somewhat concerned,Sometimes,Online,Moderately concerned,NIL
338,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Toronto Metropolitan University (Formerly known as Ryerson University),Yes,D2L,Zoom,Easy,Yes,Sometimes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Less effort than in-person learning,Yes,Yes,Yes,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Sometimes,Yes,Yes,No,No,Did not use the services,Yes,No,No,Yes,Similar to in-person,Grades were similar to in-person learning,Yes,Not at all concerned,Yes,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Rarely,Yes,Not at all concerned,Sometimes,Online,Not at all concerned,NIL
